Age;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
72;25873;35754;24774;24131;24268;24799;24680;24836;25592;23451;22377;22163;21784;19697;19334;18898;17989;18006;17612;17340;16609;16204;15569;17235;16971;16530;16257;18548;16291;17043;16918;0
73;30448;28214;38127;26699;26525;27313;26347;27072;27629;24630;24619;23672;23836;21834;21608;20221;20013;19531;19189;18306;18351;18637;18119;16274;18989;18260;17755;17496;19751;18764;18757;0
74;32364;33489;30931;41034;29330;29377;28657;29651;30869;27369;26980;26502;26223;24943;24051;22910;21457;22045;20801;20571;19294;19485;19654;18705;18074;20404;19713;19491;18973;23426;20830;0
75;28287;34831;36175;32900;46038;32287;31669;32342;33036;30240;29448;28731;29677;25966;26600;24873;24507;23974;23882;22387;22007;21589;21758;20786;21198;19295;22264;21413;20973;22578;25601;0
76;33822;31192;37962;38833;35492;50536;35299;35497;37402;33388;32606;32057;32692;30296;28953;29048;26859;27011;25830;26174;23567;24606;23754;23028;23731;22387;21507;24154;23201;24965;24707;0
77;41959;36911;34331;39947;43160;40474;54119;39608;41426;36684;36262;36079;35351;32650;33168;30965;30697;29949;29148;27389;27357;26886;26285;25088;26021;25393;25220;23519;26771;28254;27317;0
78;48231;45588;40977;37437;46487;47868;44213;61861;46314;40726;39793;39829;40426;35989;36316;35105;34127;34145;32011;32134;29490;30767;28681;28110;28723;28801;28631;27646;25619;32278;30599;0
79;54975;51499;51214;43860;41094;51586;52828;50028;70981;45539;44279;43789;44038;41364;40843;38495;38535;37874;37593;35385;34566;34446;33692;31133;32616;31563;31421;31566;30435;31888;35855;0
80;59306;59755;58710;56033;49448;47015;55894;59063;57143;71005;50911;48971;50224;45701;46671;43637;43081;42670;40976;41395;37939;39066;36887;36345;36552;35889;34852;34819;34913;37479;34813;0
81;68501;63555;67831;62511;61539;55670;50768;64520;69517;59276;79344;55792;56336;50499;51508;49020;47931;48059;47437;46159;44194;43832;43045;40005;42914;40287;40399;39393;39224;42679;40955;0
82;75805;74691;72274;72839;69708;71092;61320;59431;76379;69534;64671;87954;64170;56949;58275;54687;54679;54142;53043;52175;49650;51369;48580;46451;46205;46494;45332;44320;43071;48042;46624;0
83;88137;83057;84607;77141;82215;79917;77128;70624;69779;77358;76823;72113;101987;64604;65248;61642;60397;62043;59255;58400;56892;58508;56175;52571;54600;51528;52486;50406;50280;53490;53303;0
84;96320;96219;94689;89776;86946;92700;86664;89256;83939;70177;84855;85472;82189;102717;74025;69474;68656;68921;69066;66598;62975;66016;63169;61894;62113;61004;58584;58522;56811;62385;59624;0
85;108705;103523;107956;101086;101351;100165;101255;101150;106492;83758;76528;93865;98139;82898;119239;78968;77436;77588;77871;76219;71795;75382;73922;69628;72727;69095;67993;65530;66013;70069;68496;0
86;121038;117845;120424;116647;113889;114693;109048;117127;120210;106063;90919;85544;107366;99663;96197;128171;88171;87921;87850;86158;83965;85145;84044;79612;82491;81260;78417;77065;73002;82529;76245;0
87;135770;131504;133727;124448;130119;128494;124139;125125;138137;119668;116816;102081;98853;109547;113748;101100;144654;100490;100256;95979;92901;98246;93763;90941;94980;91295;93843;87953;86652;91144;90387;0
88;147701;145724;149077;142138;144911;148209;141922;145322;150028;138438;132343;130372;119036;99077;125911;119038;114523;161385;114392;110622;104602;109354;108947;102687;107213;105297;103545;103510;98547;107534;99328;0
89;168538;163893;167964;157474;158730;160542;162046;161378;171056;146501;151543;147628;153280;118051;114381;134664;139178;130562;182804;126336;120643;125452;122941;117599;122418;119893;121036;116610;116225;120914;117268;0
90;193487;180438;177380;176046;177166;181125;174886;179199;191477;171206;160265;170354;175777;151296;136883;123266;150838;156451;145427;204653;135421;143151;138250;131722;141920;136787;135968;135075;128407;144289;130854;0
91;213238;206528;202911;191076;192769;204043;196055;199857;216205;190004;192195;182162;197698;169726;176014;145705;140800;170235;170828;160168;223872;162161;160966;150203;158545;154288;153878;150065;150634;160312;157720;0
92;231321;228223;236395;213710;215160;219561;217195;223608;234371;216056;211246;213693;211588;195618;192553;188615;160273;156249;189018;189455;173290;260402;180302;170942;176034;175020;176259;168273;166590;183032;172873;0
93;255779;256510;255914;246196;236854;242715;233540;242727;260425;233855;237791;232978;249042;206096;228461;209997;206904;180226;175870;209353;206522;205523;283459;191433;204308;197009;195527;191951;187918;199274;197111;0
94;269851;271562;283938;269999;270333;264216;260957;267164;287017;258661;253436;260204;265130;242607;235623;237953;236739;236854;201012;191271;224707;242550;226751;302638;229995;222297;220300;212265;213210;228210;214130;0
95;310299;299917;303876;304310;307601;298486;286022;292147;305815;284172;279467;274982;303439;267403;279062;249118;264584;265952;262173;217078;204891;269061;266445;237555;353278;254049;245916;237261;232829;249223;237915;0
96;322007;324815;317244;319368;331806;348451;316657;307199;334035;297629;298292;302328;319352;295885;306910;295653;276368;295657;295455;291778;236451;245233;287554;282993;281749;393570;277836;268521;257426;272871;264952;0
97;349435;338235;372070;325120;356638;362193;355899;345751;350787;313899;322341;331989;356155;314837;346411;314800;323367;309582;321366;318184;305233;283092;266125;306740;332641;312567;411965;298503;286869;294503;289105;0
98;407637;347851;365244;375371;373356;404550;384084;395244;393468;334724;353731;342219;375515;339517;361041;362862;358277;367834;334265;341391;337332;356525;298020;275642;368313;369607;340266;451828;314610;326903;321570;0
99;390707;449620;373487;358887;387512;402341;456449;420931;433021;363095;349278;365568;403877;355807;380137;364391;389248;388573;395359;356629;372050;386864;367189;310870;321783;395953;373949;357392;489208;353432;341972;0
100;529987;523636;559892;515158;502656;501666;457296;500069;541656;486215;457645;429154;447133;390866;412608;421363;431790;458166;457748;464525;439822;467558;445445;431301;435665;431524;416705;417122;396425;469899;418991;0
